"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.ID","COUNTRY","INDICATOR.ID","INDICATOR","ENERGY_SOURCE.ID","ENERGY_SOURCE","FREQUENCY.ID","FREQUENCY","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:RE(2.0.1)","ARM.EG_GWH.FOSSILFUELS.A","OBS_VALUE","ARM","Armenia, Republic of","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","2871.8","3375.6","3046.9","3165.5","3383.7","3878.7",""
"IMF.STA:RE(2.0.1)","U142.EG_GWH.FOSSILFUELS.A","OBS_VALUE","U142","Asia","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","9870117.5","10346225.94","10478658.15","10504213.63","11110465.85","11216133.41","0"
"IMF.STA:RE(2.0.1)","AUS.EG_GWH.SOLARENERGY.A","OBS_VALUE","AUS","Australia","EG_GWH","Electricity Generation, Gigawatt hours","SOLARENERGY","Solar energy","A","Annual","8071","9930","14848","21034","27717","34687",""
"IMF.STA:RE(2.0.1)","U019.EIC_MW.WINDENERGY.A","OBS_VALUE","U019","Americas","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","121581.736","132522.749","146229.182","165368.268","185939.267","200078.499","214306.944"
"IMF.STA:RE(2.0.1)","ABW.EG_GWH.FOSSILFUELS.A","OBS_VALUE","ABW","Aruba, Kingdom of the Netherlands","EG_GWH","Electricity Generation, Gigawatt hours","FOSSILFUELS","Fossil fuels","A","Annual","834.234","876.14","887.844","903.612","903.612","830.238",""
"IMF.STA:RE(2.0.1)","ALB.EIC_MW.BIOENERGY.A","OBS_VALUE","ALB","Albania","EIC_MW","Electricity Installed Capacity, Megawatt","BIOENERGY","Bioenergy","A","Annual","1.425","1.425","1.425","1.425","1.425","1.425","1.425"
"IMF.STA:RE(2.0.1)","U002.EG_GWH.HYDROPOWER.A","OBS_VALUE","U002","Africa","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","125566.708","135415.493","142110.575","148310.887","155558.247","160505.156","0"
"IMF.STA:RE(2.0.1)","AGO.EG_GWH.HYDROPOWER.A","OBS_VALUE","AGO","Angola","EG_GWH","Electricity Generation, Gigawatt hours","HYDROPOWER","Hydropower (excl. Pumped Storage)","A","Annual","8844.173","11322.922","12562.297","13801.672","13801.672","13801.672",""
"IMF.STA:RE(2.0.1)","AND.EIC_MW.SOLARENERGY.A","OBS_VALUE","AND","Andorra, Principality of","EIC_MW","Electricity Installed Capacity, Megawatt","SOLARENERGY","Solar energy","A","Annual","0.489","1.09","1.989","3.084","4.352","4.352","4.352"
"IMF.STA:RE(2.0.1)","U142.EIC_MW.WINDENERGY.A","OBS_VALUE","U142","Asia","EIC_MW","Electricity Installed Capacity, Megawatt","WINDENERGY","Wind energy","A","Annual","212151.658","236852.995","266293.936","341955.155","396635.363","439687.044","522410.036"
